site_id,site_name,scenario_id,scenario_type,source_status,boundary_status,parameter_evidence,measured_or_direct_count,reconstructed_count,transferred_count,assumed_count,planned_count,unresolved_count,limiting_evidence,numeric_result_available,rank_admissibility,evidence_conclusion
lebanon_in,Lebanon,lebanon_tier3_existing_system_counterfactual,pre_expansion_counterfactual,verified_local,conditional,W_peak:P;r_peak:T;K:M,1,0,1,0,1,0,transferred;planned,yes,scenario_only,Planning counterfactual: Tier III peak is compared with the pre-expansion system; this is not current operating overload.
lebanon_in,Lebanon,lebanon_tier3_planned_wholesale_allocation,planned_allocation_scenario,authoritative_current;verified_local,conditional,W_peak:P;r_peak:T;K:P,0,0,1,0,2,0,transferred;planned,yes,within_site_scenario_only,Within-site planning scenario using the 25 MGD future wholesale allocation; no total post-expansion capacity is inferred.
council_bluffs_ia,Council Bluffs,council_bluffs_current_k_unresolved,unresolved_denominator,unresolved;verified_local,fail,W_avg:R;C_avg:R;PF_shared:T;K:U,0,2,1,0,0,1,unresolved;transferred,no,not_admissible,NA: an explicit current combined nominal or firm capacity was not verified for Council Bluffs.
mayes_county_ok,Mayes County,mayes_fy2024_nominal_k_default_pf,conditional_nominal_capacity_scenario,author_assumption;authoritative_current;verified_local,conditional,W_avg:R;C_avg:R;PF_shared:A;K:M,1,2,0,1,0,0,assumed,yes,conditional_scenario,"Conditional nominal-capacity scenario; K is now authoritative, but PF remains an author assumption."
the_dalles_or,The Dalles,the_dalles_current_k_unresolved,unresolved_current_denominator,cited_not_locally_verified;unresolved;verified_local,fail,W_avg:R;C_avg:R;PF_shared:R;K:U,0,3,0,0,0,1,unresolved,no,not_admissible,NA for a current comparison: the adopted 2024 plan's current capacity total was not retrieved.
the_dalles_or,The Dalles,the_dalles_fy2024_historical_k_proxy,historical_denominator_scenario,authoritative_historical;cited_not_locally_verified;verified_local,temporal_mismatch,W_avg:R;C_avg:R;PF_shared:R;K:M,1,3,0,0,0,0,site-specific reported or reconstructed,yes,within_site_scenario_only,Historical-denominator scenario only: FY2024 use is compared with the 4.5 MGD reliable supply reported in 2006.
douglas_county_ga,Douglas County,douglas_combined_boundary_indeterminate,boundary_indeterminate,author_assumption;unresolved;verified_local,fail,W_avg:R;C_avg:R;PF_shared:A;K:U,0,2,0,1,0,1,unresolved;assumed,no,not_admissible,NA: combined reclaimed and potable water is not matched to one combined capacity denominator.
douglas_county_ga,Douglas County,douglas_reclaimed_subsystem_pdlr,reclaimed_subsystem_delivery_scenario,author_assumption;authoritative_current;verified_local,conditional,W_avg:R;PF_shared:A;K:M,1,1,0,1,0,0,assumed,no,within_site_pdlr_only,Reclaimed-subsystem PDLR scenario only; WCI is NA because reclaimed-stream consumption or r is unavailable.
wisconsin_mount_pleasant_wi,Wisconsin site,wisconsin_40_mgd_2021_context,conditional_historical_context_scenario,official_2021_context;secondary_source;verified_local,conditional,W_avg:R;W_peak:P;r_peak:T;K:M,1,1,1,0,1,0,transferred;planned,yes,conditional_confirmation_pending,Conditional 40 MGD Racine-system scenario; the official capacity source has 2021 context and current confirmation is pending.
botetourt_county_va,Botetourt County,botetourt_peak_reservation_24_mgd_k,permitted_peak_reservation_scenario,authoritative_current;verified_local,conditional,W_peak:P;r_peak:T;K:M,1,0,1,0,1,0,transferred;planned,yes,scenario_only,Planned maximum-reservation scenario; 2 MGD is used directly against the current 24 MGD serving-plant rating.
memphis_tn,Memphis,memphis_peak_system_258,whole_system_denominator_scenario,authoritative_current;authoritative_primary;verified_local,system,W_peak:P;r_peak:T;K:M,1,0,1,0,1,0,transferred;planned,yes,within_site_scenario_only,Whole-system scenario: the 1 MGD service maximum is compared with 258 MGD MLGW nominal capacity.
memphis_tn,Memphis,memphis_peak_serving_plant_30,serving_plant_denominator_scenario,authoritative_current;authoritative_primary;verified_local,conditional,W_peak:P;r_peak:T;K:M,1,0,1,0,1,0,transferred;planned,yes,scenario_only,Serving-plant scenario: the 1 MGD service maximum is compared with the 30 MGD Davis WTP rating.
midlothian_tx,Midlothian,midlothian_fy2024_nominal_k_default_pf,conditional_nominal_capacity_scenario,author_assumption;authoritative_current;verified_local,conditional,W_avg:R;C_avg:R;PF_shared:A;K:M,1,2,0,1,0,0,assumed,yes,conditional_scenario,"Conditional nominal-capacity scenario; K is authoritative, but PF remains assumed and direct service needs confirmation."
henderson_nv,Henderson,henderson_fy2024_regional_gross_capacity,regional_denominator_scenario,author_assumption;authoritative_current;verified_local,regional,W_avg:R;C_avg:R;PF_shared:A;K:M,1,2,0,1,0,0,assumed,yes,regional_scenario_only,"Regional gross-capacity scenario; it does not measure local headroom, basin scarcity, or hydrologic safety."
